Designator,Mid X,Mid Y,Rotation,Layer
C1,147.8,-107.225,270.0,top
C10,101.85,-99.4,0.0,top
C11,98.65,-102.0,270.0,top
C12,94.5,-109.4,270.0,top
C13,95.8,-108.855,270.0,top
C14,98.8,-108.855,270.0,top
C15,107.15,-110.875,0.0,top
C16,107.0,-108.6,90.0,top
C17,102.3,-113.45,270.0,top
C18,98.8,-106.605,90.0,top
C19,100.3,-104.93,90.0,top
C2,144.099999,-104.65,270.0,top
C20,96.532287,-105.075179,45.0,top
C21,101.3,-104.93,90.0,top
C22,104.45,-117.5,270.0,top
C23,95.35,-119.35,270.0,top
C24,93.75,-119.35,270.0,top
C25,122.1,-116.5,270.0,top
C26,119.07,-115.012499,0.0,top
C27,123.0,-119.6,90.0,top
C28,147.0,-113.239999,90.0,top
C29,151.0,-118.32,270.0,top
C3,122.492502,-108.5843,270.0,top
C30,114.2,-114.7,0.0,top
C31,126.50625,-117.95,270.0,top
C32,125.70625,-115.95,180.0,top
C4,138.449999,-104.6,90.0,top
C5,124.1,-109.5,180.0,top
C6,127.75,-110.2,90.0,top
C7,130.074999,-109.050003,180.0,top
C8,128.674999,-106.450006,270.0,top
C9,109.15,-117.9,90.0,top
D1,151.1,-100.5,90.0,top
D10,150.399997,-114.25,0.0,top
D2,148.2,-99.6,0.0,top
D3,138.5,-101.2,90.0,top
D4,134.324999,-110.350001,270.0,top
D5,95.500001,-101.275,270.0,top
D6,106.0,-101.25,270.0,top
D7,110.2,-117.9,90.0,top
D8,99.8,-117.6,90.0,top
D9,116.6,-110.2,180.0,top
J1,113.090175,-101.505,180.0,top
J2,148.65,-118.545,0.0,top
J3,142.02,-99.4,90.0,top
J4,134.595,-99.4,90.0,top
J5,120.8,-101.7,180.0,top
J6,109.4,-101.47,0.0,top
J7,140.905,-117.95,90.0,top
L1,142.549998,-102.3,180.0,top
L2,124.7,-108.2,0.0,top
L3,129.674999,-103.25,180.0,top
L4,97.3,-108.415,180.0,top
L5,97.25,-106.5,315.0,top
Q1,137.349999,-108.4,180.0,top
R1,149.4,-107.225,90.0,top
R10,95.490001,-98.799999,180.0,top
R11,106.0,-98.750001,0.0,top
R12,105.1,-113.3,180.0,top
R13,102.3,-104.94,90.0,top
R14,94.6,-112.7,0.0,top
R15,96.8,-114.4,90.0,top
R16,110.2,-120.6,0.0,top
R17,99.05,-112.2,90.0,top
R18,123.2,-116.5,270.0,top
R19,122.0,-119.6,270.0,top
R2,149.4,-104.0,270.0,top
R20,149.8,-112.749999,0.0,top
R21,147.999999,-113.239999,90.0,top
R22,151.0,-116.4,90.0,top
R23,116.7,-116.6,270.0,top
R24,115.7,-116.6,90.0,top
R3,114.7,-106.1,270.0,top
R4,104.4,-102.2,270.0,top
R5,121.452502,-108.6043,90.0,top
R6,142.099999,-107.159999,90.0,top
R7,143.199999,-107.159999,270.0,top
R8,133.9,-106.9,0.0,top
R9,132.574998,-103.550002,90.0,top
S1,153.75,-122.5,90.0,top
SW1,106.9,-119.4,270.0,top
SW2,102.2,-119.35,270.0,top
U1,146.7,-103.5,90.0,top
U10,129.65625,-116.0,90.0,top
U2,140.999999,-104.55,0.0,top
U3,111.6,-106.5,135.0,top
U4,135.374999,-104.25,90.0,top
U5,131.074999,-106.350002,90.0,top
U6,103.0,-109.2,90.0,top
U7,119.550001,-117.6125,270.0,top
U8,94.775,-116.825,90.0,top
U9,113.179998,-118.1375,0.0,top
Y1,101.3,-101.7,0.0,top
